title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Ленивец John Deere E210LC,john deere,210G,,,,ходовая часть,ленивец,,,,,,210,hyundai,R 210-3,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Ленивец sdlg 6150/ sdlg 6210 /sdlg 6250 /sdlg 6255,sdlg,E6150F,,,,ходовая часть,ленивец,,,,,,6150,xcmg,XE150D,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
152-7372 редуктор поворота CAT M318,cat,318,152-7372,,,гидравлический компонент,редуктор,редуктор поворота,!,целиком,,152-7372,318,cat,318,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Вал редуктора хода John Deere E210 /E240,john deere,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,вал,,,hyundai,R 450LC-3,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Редуктор хода Hyundai R160/R210/R250/R300/R330,hyundai,R160LC-7,,,,гидравлический компонент,редуктор,редуктор хода,!,целиком,,,160,hyundai,R 160LC-7,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Коронки ковша hyundai/doosan/volvo/komatsu,doosan,,,,,рабочее оборудование,ковшевой узел,коронка,,,,,,doosan,Daewoo SOLAR 330V,Для навесного оборудования,,,2024-02-03
Гидроцилиндр ковша sdlg E6210/E6255/E6300/E6400,sdlg,E6210FLC,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,6210,xcmg,XE215CLL,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Вал редуктора /гидромотора Hyundai R210/R260/R300,hyundai,R210,,,,гидравлический компонент,гидромотор,!,,запчасти,вал,,210,hyundai,R 210-3,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Пальцы ковша экскаватора Hyundai 210,hyundai,,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,,hyundai,ROBEX 360 LC,Для навесного оборудования,,,2024-02-03
Подшипник редуктора хода John Deere E240/E260,john deere,,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,подшипник,,,hyundai,ROBEX 160 LC,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
